utc_time,ppa,value,rule_id,rule
2026-01-22 20:01:46.350,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.350,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.350,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.361,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:01:46.361,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:01:46.361,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.361,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.362,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.362,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:01:46.373,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:01:46.373,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:03:17.213,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.213,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.223,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.234,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.245,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.256,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.256,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.267,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.276,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.287,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.299,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.299,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.310,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.320,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
2026-01-22 20:03:17.322,863,1.0,Mgest_500_Pm_07 Digital Value 1: CVPL2_CF_A,!= 0.0
2026-01-22 20:03:17.322,893,1.0,Mgest_500_Pm_09 Digital Value 1: CVPL2_CF_B,!= 0.0
2026-01-22 20:03:17.331,742,1.0,Mgest_500_Pm_01 Digital Value 1: CVPL1_CF_A,!= 0.0
2026-01-22 20:03:17.331,772,1.0,Mgest_500_Pm_03 Digital Value 1: CVPL1_CF_B,!= 0.0
